GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Student Project,com.example,Student,7,168,1,15,4,44,3,26,2,19
Student Project,com.example,StudentService,59,201,16,30,16,53,10,26,0,13
